Week,Start,End
201501,02/03/2015,08/03/2015
201502,09/03/2015,15/03/2015
201503,16/03/2015,22/03/2015
201504,23/03/2015,29/03/2015
201505,30/03/2015,05/04/2015
201506,06/04/2015,12/04/2015
201507,13/04/2015,19/04/2015
201508,20/04/2015,26/04/2015
201509,27/04/2015,03/05/2015
201510,04/05/2015,10/05/2015
201511,11/05/2015,17/05/2015
201512,18/05/2015,24/05/2015
201513,25/05/2015,31/05/2015
201514,01/06/2015,07/06/2015
201515,08/06/2015,14/06/2015
201516,15/06/2015,21/06/2015
201517,22/06/2015,28/06/2015
201518,29/06/2015,05/07/2015
201519,06/07/2015,12/07/2015
201520,13/07/2015,19/07/2015
201521,20/07/2015,26/07/2015
201522,27/07/2015,02/08/2015
201523,03/08/2015,09/08/2015
201524,10/08/2015,16/08/2015
201525,17/08/2015,23/08/2015
201526,24/08/2015,30/08/2015
201527,31/08/2015,06/09/2015
201528,07/09/2015,13/09/2015
201529,14/09/2015,20/09/2015
201530,21/09/2015,27/09/2015
201531,28/09/2015,04/10/2015
201532,05/10/2015,11/10/2015
201533,12/10/2015,18/10/2015
201534,19/10/2015,25/10/2015
201535,26/10/2015,01/11/2015
201536,02/11/2015,08/11/2015
201537,09/11/2015,15/11/2015
201538,16/11/2015,22/11/2015
201539,23/11/2015,29/11/2015
201540,30/11/2015,06/12/2015
201541,07/12/2015,13/12/2015
201542,14/12/2015,20/12/2015
201543,21/12/2015,27/12/2015
201544,28/12/2015,03/01/2016
201545,04/01/2016,10/01/2016
201546,11/01/2016,17/01/2016
201547,18/01/2016,24/01/2016
201548,25/01/2016,31/01/2016
201549,01/02/2016,07/02/2016
201550,08/02/2016,14/02/2016
201551,15/02/2016,21/02/2016
201552,22/02/2016,28/02/2016
201601,29/02/2016,06/03/2016
201602,07/03/2016,13/03/2016
201603,14/03/2016,20/03/2016
201604,21/03/2016,27/03/2016
201605,28/03/2016,03/04/2016
201606,04/04/2016,10/04/2016
201607,11/04/2016,17/04/2016
201608,18/04/2016,24/04/2016
201609,25/04/2016,01/05/2016
201610,02/05/2016,08/05/2016
201611,09/05/2016,15/05/2016
201612,16/05/2016,22/05/2016
201613,23/05/2016,29/05/2016
201614,30/05/2016,05/06/2016
201615,06/06/2016,12/06/2016
201616,13/06/2016,19/06/2016
201617,20/06/2016,26/06/2016
201618,27/06/2016,03/07/2016
201619,04/07/2016,10/07/2016
201620,11/07/2016,17/07/2016
201621,18/07/2016,24/07/2016
201622,25/07/2016,31/07/2016
201623,01/08/2016,07/08/2016
201624,08/08/2016,14/08/2016
201625,15/08/2016,21/08/2016
201626,22/08/2016,28/08/2016
201627,29/08/2016,04/09/2016
201628,05/09/2016,11/09/2016
201629,12/09/2016,18/09/2016
201630,19/09/2016,25/09/2016
201631,26/09/2016,02/10/2016
201632,03/10/2016,09/10/2016
201633,10/10/2016,16/10/2016
201634,17/10/2016,23/10/2016
201635,24/10/2016,30/10/2016
201636,31/10/2016,06/11/2016
201637,07/11/2016,13/11/2016
201638,14/11/2016,20/11/2016
201639,21/11/2016,27/11/2016
201640,28/11/2016,04/12/2016
201641,05/12/2016,11/12/2016
201642,12/12/2016,18/12/2016
201643,19/12/2016,25/12/2016
201644,26/12/2016,01/01/2017
201645,02/01/2017,08/01/2017
201646,09/01/2017,15/01/2017
201647,16/01/2017,22/01/2017
201648,23/01/2017,29/01/2017
201649,30/01/2017,05/02/2017
201650,06/02/2017,12/02/2017
201651,13/02/2017,19/02/2017
201652,20/02/2017,26/02/2017
201701,27/02/2017,05/03/2017
201702,06/03/2017,12/03/2017
201703,13/03/2017,19/03/2017
201704,20/03/2017,26/03/2017
201705,27/03/2017,02/04/2017
201706,03/04/2017,09/04/2017
201707,10/04/2017,16/04/2017
201708,17/04/2017,23/04/2017
201709,24/04/2017,30/04/2017
201710,01/05/2017,07/05/2017
201711,08/05/2017,14/05/2017
201712,15/05/2017,21/05/2017
201713,22/05/2017,28/05/2017
201714,29/05/2017,04/06/2017
201715,05/06/2017,11/06/2017
201716,12/06/2017,18/06/2017
201717,19/06/2017,25/06/2017
201718,26/06/2017,02/07/2017
201719,03/07/2017,09/07/2017
201720,10/07/2017,16/07/2017
201721,17/07/2017,23/07/2017
201722,24/07/2017,30/07/2017
201723,31/07/2017,06/08/2017
201724,07/08/2017,13/08/2017
201725,14/08/2017,20/08/2017
201726,21/08/2017,27/08/2017
201727,28/08/2017,03/09/2017
201728,04/09/2017,10/09/2017
201729,11/09/2017,17/09/2017
201730,18/09/2017,24/09/2017
201731,25/09/2017,01/10/2017
201732,02/10/2017,08/10/2017
201733,09/10/2017,15/10/2017
201734,16/10/2017,22/10/2017
201735,23/10/2017,29/10/2017
201736,30/10/2017,05/11/2017
201737,06/11/2017,12/11/2017
201738,13/11/2017,19/11/2017
201739,20/11/2017,26/11/2017
201740,27/11/2017,03/12/2017
201741,04/12/2017,10/12/2017
201742,11/12/2017,17/12/2017
201743,18/12/2017,24/12/2017
201744,25/12/2017,31/12/2017
201745,01/01/2018,07/01/2018
201746,08/01/2018,14/01/2018
201747,15/01/2018,21/01/2018
201748,22/01/2018,28/01/2018
201749,29/01/2018,04/02/2018
201750,05/02/2018,11/02/2018
201751,12/02/2018,18/02/2018
201752,19/02/2018,25/02/2018
201801,26/02/2018,04/03/2018
201802,05/03/2018,11/03/2018
201803,12/03/2018,18/03/2018
201804,19/03/2018,25/03/2018
201805,26/03/2018,01/04/2018
201806,02/04/2018,08/04/2018
201807,09/04/2018,15/04/2018
201808,16/04/2018,22/04/2018
201809,23/04/2018,29/04/2018
201810,30/04/2018,06/05/2018
201811,07/05/2018,13/05/2018
201812,14/05/2018,20/05/2018
201813,21/05/2018,27/05/2018
201814,28/05/2018,03/06/2018
201815,04/06/2018,10/06/2018
201816,11/06/2018,17/06/2018
201817,18/06/2018,24/06/2018
201818,25/06/2018,01/07/2018
201819,02/07/2018,08/07/2018
201820,09/07/2018,15/07/2018
201821,16/07/2018,22/07/2018
201822,23/07/2018,29/07/2018
201823,30/07/2018,05/08/2018
201824,06/08/2018,12/08/2018
201825,13/08/2018,19/08/2018
201826,20/08/2018,26/08/2018
201827,27/08/2018,02/09/2018
201828,03/09/2018,09/09/2018
201829,10/09/2018,16/09/2018
201830,17/09/2018,23/09/2018
201831,24/09/2018,30/09/2018
201832,01/10/2018,07/10/2018
201833,08/10/2018,14/10/2018
201834,15/10/2018,21/10/2018
201835,22/10/2018,28/10/2018
201836,29/10/2018,04/11/2018
201837,05/11/2018,11/11/2018
201838,12/11/2018,18/11/2018
201839,19/11/2018,25/11/2018
201840,26/11/2018,02/12/2018
201841,03/12/2018,09/12/2018
201842,10/12/2018,16/12/2018
201843,17/12/2018,23/12/2018
201844,24/12/2018,30/12/2018
201845,31/12/2018,06/01/2019
201846,07/01/2019,13/01/2019
201847,14/01/2019,20/01/2019
201848,21/01/2019,27/01/2019
201849,28/01/2019,03/02/2019
201850,04/02/2019,10/02/2019
201851,11/02/2019,17/02/2019
201852,18/02/2019,24/02/2019
201901,25/02/2019,03/03/2019
201902,04/03/2019,10/03/2019
201903,11/03/2019,17/03/2019
201904,18/03/2019,24/03/2019
201905,25/03/2019,31/03/2019
201906,01/04/2019,07/04/2019
201907,08/04/2019,14/04/2019
201908,15/04/2019,21/04/2019
201909,22/04/2019,28/04/2019
201910,29/04/2019,05/05/2019
201911,06/05/2019,12/05/2019
201912,13/05/2019,19/05/2019
201913,20/05/2019,26/05/2019
201914,27/05/2019,02/06/2019
201915,03/06/2019,09/06/2019
201916,10/06/2019,16/06/2019
201917,17/06/2019,23/06/2019
201918,24/06/2019,30/06/2019
201919,01/07/2019,07/07/2019
201920,08/07/2019,14/07/2019
201921,15/07/2019,21/07/2019
201922,22/07/2019,28/07/2019
201923,29/07/2019,04/08/2019
201924,05/08/2019,11/08/2019
201925,12/08/2019,18/08/2019
201926,19/08/2019,25/08/2019
201927,26/08/2019,01/09/2019
201928,02/09/2019,08/09/2019
201929,09/09/2019,15/09/2019
201930,16/09/2019,22/09/2019
201931,23/09/2019,29/09/2019
201932,30/09/2019,06/10/2019
201933,07/10/2019,13/10/2019
201934,14/10/2019,20/10/2019
201935,21/10/2019,27/10/2019
201936,28/10/2019,03/11/2019
201937,04/11/2019,10/11/2019
201938,11/11/2019,17/11/2019
201939,18/11/2019,24/11/2019
201940,25/11/2019,01/12/2019
201941,02/12/2019,08/12/2019
201942,09/12/2019,15/12/2019
201943,16/12/2019,22/12/2019
201944,23/12/2019,29/12/2019
201945,30/12/2019,05/01/2020
201946,06/01/2020,12/01/2020
201947,13/01/2020,19/01/2020
201948,20/01/2020,26/01/2020
201949,27/01/2020,02/02/2020
201950,03/02/2020,09/02/2020
201951,10/02/2020,16/02/2020
201952,17/02/2020,23/02/2020
201953,24/02/2020,01/03/2020
202001,02/03/2020,08/03/2020
202002,09/03/2020,15/03/2020
202003,16/03/2020,22/03/2020
202004,23/03/2020,29/03/2020
202005,30/03/2020,05/04/2020
202006,06/04/2020,12/04/2020
202007,13/04/2020,19/04/2020
202008,20/04/2020,26/04/2020
202009,27/04/2020,03/05/2020
202010,04/05/2020,10/05/2020
202011,11/05/2020,17/05/2020
202012,18/05/2020,24/05/2020
202013,25/05/2020,31/05/2020
202014,01/06/2020,07/06/2020
202015,08/06/2020,14/06/2020
202016,15/06/2020,21/06/2020
202017,22/06/2020,28/06/2020
202018,29/06/2020,05/07/2020
202019,06/07/2020,12/07/2020
202020,13/07/2020,19/07/2020
202021,20/07/2020,26/07/2020
202022,27/07/2020,02/08/2020
202023,03/08/2020,09/08/2020
202024,10/08/2020,16/08/2020
202025,17/08/2020,23/08/2020
202026,24/08/2020,30/08/2020
202027,31/08/2020,06/09/2020
202028,07/09/2020,13/09/2020
202029,14/09/2020,20/09/2020
202030,21/09/2020,27/09/2020
202031,28/09/2020,04/10/2020
202032,05/10/2020,11/10/2020
202033,12/10/2020,18/10/2020
202034,19/10/2020,25/10/2020
202035,26/10/2020,01/11/2020
202036,02/11/2020,08/11/2020
202037,09/11/2020,15/11/2020
202038,16/11/2020,22/11/2020
202039,23/11/2020,29/11/2020
202040,30/11/2020,06/12/2020
202041,07/12/2020,13/12/2020
202042,14/12/2020,20/12/2020
202043,21/12/2020,27/12/2020
202044,28/12/2020,03/01/2021
202045,04/01/2021,10/01/2021
202046,11/01/2021,17/01/2021
202047,18/01/2021,24/01/2021
202048,25/01/2021,31/01/2021
202049,01/02/2021,07/02/2021
202050,08/02/2021,14/02/2021
202051,15/02/2021,21/02/2021
202052,22/02/2021,28/02/2021
202101,01/03/2021,07/03/2021
202102,08/03/2021,14/03/2021
202103,15/03/2021,21/03/2021
202104,22/03/2021,28/03/2021
202105,29/03/2021,04/04/2021
202106,05/04/2021,11/04/2021
202107,12/04/2021,18/04/2021
202108,19/04/2021,25/04/2021
202109,26/04/2021,02/05/2021
202110,03/05/2021,09/05/2021
202111,10/05/2021,16/05/2021
202112,17/05/2021,23/05/2021
202113,24/05/2021,30/05/2021
202114,31/05/2021,06/06/2021
202115,07/06/2021,13/06/2021
202116,14/06/2021,20/06/2021
202117,21/06/2021,27/06/2021
202118,28/06/2021,04/07/2021
202119,05/07/2021,11/07/2021
202120,12/07/2021,18/07/2021
202121,19/07/2021,25/07/2021
202122,26/07/2021,01/08/2021
202123,02/08/2021,08/08/2021
202124,09/08/2021,15/08/2021
202125,16/08/2021,22/08/2021
202126,23/08/2021,29/08/2021
202127,30/08/2021,05/09/2021
202128,06/09/2021,12/09/2021
202129,13/09/2021,19/09/2021
202130,20/09/2021,26/09/2021
202131,27/09/2021,03/10/2021
202132,04/10/2021,10/10/2021
202133,11/10/2021,17/10/2021
202134,18/10/2021,24/10/2021
202135,25/10/2021,31/10/2021
202136,01/11/2021,07/11/2021
202137,08/11/2021,14/11/2021
202138,15/11/2021,21/11/2021
202139,22/11/2021,28/11/2021
202140,29/11/2021,05/12/2021
202141,06/12/2021,12/12/2021
202142,13/12/2021,19/12/2021
202143,20/12/2021,26/12/2021
202144,27/12/2021,02/01/2022
202145,03/01/2022,09/01/2022
202146,10/01/2022,16/01/2022
202147,17/01/2022,23/01/2022
202148,24/01/2022,30/01/2022
202149,31/01/2022,06/02/2022
202150,07/02/2022,13/02/2022
202151,14/02/2022,20/02/2022
202152,21/02/2022,27/02/2022
202201,28/02/2022,06/03/2022
202202,07/03/2022,13/03/2022
202203,14/03/2022,20/03/2022
202204,21/03/2022,27/03/2022
202205,28/03/2022,03/04/2022
202206,04/04/2022,10/04/2022
202207,11/04/2022,17/04/2022
202208,18/04/2022,24/04/2022
202209,25/04/2022,01/05/2022
202210,02/05/2022,08/05/2022
202211,09/05/2022,15/05/2022
202212,16/05/2022,22/05/2022
202213,23/05/2022,29/05/2022
202214,30/05/2022,05/06/2022
202215,06/06/2022,12/06/2022
202216,13/06/2022,19/06/2022
202217,20/06/2022,26/06/2022
202218,27/06/2022,03/07/2022
202219,04/07/2022,10/07/2022
202220,11/07/2022,17/07/2022
202221,18/07/2022,24/07/2022
202222,25/07/2022,31/07/2022
202223,01/08/2022,07/08/2022
202224,08/08/2022,14/08/2022
202225,15/08/2022,21/08/2022
202226,22/08/2022,28/08/2022
202227,29/08/2022,04/09/2022
202228,05/09/2022,11/09/2022
202229,12/09/2022,18/09/2022
202230,19/09/2022,25/09/2022
202231,26/09/2022,02/10/2022
202232,03/10/2022,09/10/2022
202233,10/10/2022,16/10/2022
202234,17/10/2022,23/10/2022
202235,24/10/2022,30/10/2022
202236,31/10/2022,06/11/2022
202237,07/11/2022,13/11/2022
202238,14/11/2022,20/11/2022
202239,21/11/2022,27/11/2022
202240,28/11/2022,04/12/2022
202241,05/12/2022,11/12/2022
202242,12/12/2022,18/12/2022
202243,19/12/2022,25/12/2022
202244,26/12/2022,01/01/2023
202245,02/01/2023,08/01/2023
202246,09/01/2023,15/01/2023
202247,16/01/2023,22/01/2023
202248,23/01/2023,29/01/2023
202249,30/01/2023,05/02/2023
202250,06/02/2023,12/02/2023
202251,13/02/2023,19/02/2023
202252,20/02/2023,26/02/2023
202301,27/02/2023,05/03/2023
202302,06/03/2023,12/03/2023
202303,13/03/2023,19/03/2023
202304,20/03/2023,26/03/2023
202305,27/03/2023,02/04/2023
202306,03/04/2023,09/04/2023
202307,10/04/2023,16/04/2023
202308,17/04/2023,23/04/2023
202309,24/04/2023,30/04/2023
202310,01/05/2023,07/05/2023
202311,08/05/2023,14/05/2023
202312,15/05/2023,21/05/2023
202313,22/05/2023,28/05/2023
202314,29/05/2023,04/06/2023
202315,05/06/2023,11/06/2023
202316,12/06/2023,18/06/2023
202317,19/06/2023,25/06/2023
202318,26/06/2023,02/07/2023
202319,03/07/2023,09/07/2023
202320,10/07/2023,16/07/2023
202321,17/07/2023,23/07/2023
202322,24/07/2023,30/07/2023
202323,31/07/2023,06/08/2023
202324,07/08/2023,13/08/2023
202325,14/08/2023,20/08/2023
202326,21/08/2023,27/08/2023
202327,28/08/2023,03/09/2023
202328,04/09/2023,10/09/2023
202329,11/09/2023,17/09/2023
202330,18/09/2023,24/09/2023
202331,25/09/2023,01/10/2023
202332,02/10/2023,08/10/2023
202333,09/10/2023,15/10/2023
202334,16/10/2023,22/10/2023
202335,23/10/2023,29/10/2023
202336,30/10/2023,05/11/2023
202337,06/11/2023,12/11/2023
202338,13/11/2023,19/11/2023
202339,20/11/2023,26/11/2023
202340,27/11/2023,03/12/2023
202341,04/12/2023,10/12/2023
202342,11/12/2023,17/12/2023
202343,18/12/2023,24/12/2023
202344,25/12/2023,31/12/2023
202345,01/01/2024,07/01/2024
202346,08/01/2024,14/01/2024
202347,15/01/2024,21/01/2024
202348,22/01/2024,28/01/2024
202349,29/01/2024,04/02/2024
202350,05/02/2024,11/02/2024
202351,12/02/2024,18/02/2024
202352,19/02/2024,25/02/2024
202401,26/02/2024,03/03/2024
202402,04/03/2024,10/03/2024
202403,11/03/2024,17/03/2024
202404,18/03/2024,24/03/2024
202405,25/03/2024,31/03/2024
202406,01/04/2024,07/04/2024
202407,08/04/2024,14/04/2024
202408,15/04/2024,21/04/2024
202409,22/04/2024,28/04/2024
202410,29/04/2024,05/05/2024
202411,06/05/2024,12/05/2024
202412,13/05/2024,19/05/2024
202413,20/05/2024,26/05/2024
202414,27/05/2024,02/06/2024
202415,03/06/2024,09/06/2024
202416,10/06/2024,16/06/2024
202417,17/06/2024,23/06/2024
202418,24/06/2024,30/06/2024
202419,01/07/2024,07/07/2024
202420,08/07/2024,14/07/2024
202421,15/07/2024,21/07/2024
202422,22/07/2024,28/07/2024
202423,29/07/2024,04/08/2024
202424,05/08/2024,11/08/2024
202425,12/08/2024,18/08/2024
202426,19/08/2024,25/08/2024
202427,26/08/2024,01/09/2024
202428,02/09/2024,08/09/2024
202429,09/09/2024,15/09/2024
202430,16/09/2024,22/09/2024
202431,23/09/2024,29/09/2024
202432,30/09/2024,06/10/2024
202433,07/10/2024,13/10/2024
202434,14/10/2024,20/10/2024
202435,21/10/2024,27/10/2024
202436,28/10/2024,03/11/2024
202437,04/11/2024,10/11/2024
202438,11/11/2024,17/11/2024
202439,18/11/2024,24/11/2024
202440,25/11/2024,01/12/2024
202441,02/12/2024,08/12/2024
202442,09/12/2024,15/12/2024
202443,16/12/2024,22/12/2024
202444,23/12/2024,29/12/2024
202445,30/12/2024,05/01/2025
202446,06/01/2025,12/01/2025
202447,13/01/2025,19/01/2025
202448,20/01/2025,26/01/2025
202449,27/01/2025,02/02/2025
202450,03/02/2025,09/02/2025
202451,10/02/2025,16/02/2025
202452,17/02/2025,23/02/2025