Salitix_Client_Number,salitix_customer_number,Retailer_Product_Number,Item No,Item Desc
CL001,MOR01,111688573,,
CL001,MOR01,110887167,,
CL001,MOR01,108225383,,
CL001,MOR01,108181691,,
CL001,MOR01,108225236,,
CL001,MOR01,107346829,,
CL001,MOR01,107346790,,
CL001,MOR01,101571620,,
CL001,MOR01,101550917,,
CL001,MOR01,107346651,,
CL001,MOR01,110709467,,
CL001,MOR01,101530449,,
CL001,MOR01,102859844,,
CL001,MOR01,111947504,,
CL001,MOR01,106892756,,
CL001,MOR01,101545798,,
CL001,MOR01,111124452,,
CL001,MOR01,107346626,,
CL001,MOR01,101524487,,
CL001,MOR01,105034101,,
CL001,MOR01,109823351,,
CL001,MOR01,109191816,,
CL001,MOR01,112213596,,
CL001,MOR01,108711947,,
CL001,MOR01,106892801,,
CL001,MOR01,110164348,,
CL001,MOR01,102861012,,
CL001,MOR01,101547574,,
CL001,MOR01,109152454,,
CL001,MOR01,112429830,,
CL001,MOR01,110197570,,
CL001,MOR01,101538352,,
CL001,MOR01,110538397,,
CL001,MOR01,108711824,,
CL001,MOR01,111920150,,
CL001,MOR01,111124321,,
CL001,MOR01,101553173,,
CL001,MOR01,111854762,,
CL001,MOR01,112429717,,
CL001,MOR01,111096658,,
CL001,MOR01,110828280,,
CL001,MOR01,110566591,,
CL001,MOR01,110172815,,
CL001,MOR01,112442364,,
CL001,MOR01,108711883,,
CL001,MOR01,111765575,,
CL001,MOR01,101541893,,
CL001,MOR01,110620729,,
CL001,MOR01,109999090,,
CL001,MOR01,107346765,,
CL001,MOR01,109823449,,
CL001,MOR01,101527696,,
CL001,MOR01,110887116,,
CL001,MOR01,110804827,,
CL001,MOR01,109191883,,
CL001,MOR01,110642143,,
CL001,MOR01,110642080,,
CL001,MOR01,109823385,,
CL001,MOR01,112050580,,
CL001,MOR01,106962700,,
CL001,MOR01,112429928,,
CL001,MOR01,101534837,,
CL002,MOR01,110204047,,
CL002,MOR01,108268703,,
CL002,MOR01,108129164,,
CL002,MOR01,100112982,,
CL002,MOR01,109933402,,
CL002,MOR01,104537873,,
CL002,MOR01,111049675,,
CL002,MOR01,110428315,,
CL002,MOR01,106655734,,
CL002,MOR01,107146851,,
CL002,MOR01,106331191,,
CL002,MOR01,108801432,,
CL002,MOR01,105405012,,
CL002,MOR01,110010568,,
CL002,MOR01,109702145,,
CL002,MOR01,109151013,,
CL002,MOR01,111324905,,
CL002,MOR01,109413888,,
CL002,MOR01,109258460,,
CL002,MOR01,110236006,,
CL002,MOR01,100112878,,
CL002,MOR01,112250274,,
CL002,MOR01,107164152,,
CL002,MOR01,109638041,,
CL002,MOR01,108878392,,
CL002,MOR01,100125572,,
CL002,MOR01,105029619,,
CL002,MOR01,110940634,,
CL002,MOR01,109413925,,
CL002,MOR01,111049843,,
CL002,MOR01,110960301,,
CL002,MOR01,112595491,,
CL002,MOR01,100117628,,
CL002,MOR01,100126858,,
CL002,MOR01,106093276,,
CL002,MOR01,100112190,,
CL002,MOR01,102374919,,
CL002,MOR01,102896901,,
CL002,MOR01,109275593,,
CL002,MOR01,112369822,,
CL002,MOR01,112164886,,
CL002,MOR01,100126137,,
CL002,MOR01,100120430,,
CL002,MOR01,100119818,,
CL002,MOR01,107278256,,
CL002,MOR01,111434012,,
CL002,MOR01,111433255,,
CL002,MOR01,108027070,,
CL002,MOR01,111580263,,
CL002,MOR01,110549045,,
CL002,MOR01,100120333,,
CL002,MOR01,106072707,,
CL002,MOR01,112461186,,
CL002,MOR01,112595627,,
CL002,MOR01,110416605,,
CL002,MOR01,107345324,,
CL002,MOR01,109333642,,
CL002,MOR01,105405151,,
CL002,MOR01,100180643,,
CL002,MOR01,109415285,,
CL002,MOR01,112529283,,
CL002,MOR01,109933234,,
CL002,MOR01,110471461,,
CL002,MOR01,111811017,,
CL002,MOR01,109665305,,
CL002,MOR01,105989011,,
CL002,MOR01,110918859,,
CL002,MOR01,106331561,,
CL002,MOR01,111486103,,
CL002,MOR01,105405055,,
CL002,MOR01,112506428,,
CL002,MOR01,100116377,,
CL002,MOR01,100120456,,
CL002,MOR01,110763009,,
CL002,MOR01,100120624,,
CL002,MOR01,110791000,,
CL002,MOR01,110010533,,
CL002,MOR01,112461346,,
CL002,MOR01,100112974,,
CL002,MOR01,107628148,,
CL002,MOR01,107923462,,
CL002,MOR01,109413984,,
CL002,MOR01,109933824,,
CL002,MOR01,106282472,,
CL002,MOR01,102376519,,
CL002,MOR01,100126680,,
CL002,MOR01,112369187,,
CL002,MOR01,112582404,,
CL002,MOR01,100180900,,
CL002,MOR01,108950454,,
CL002,MOR01,111184885,,
CL002,MOR01,111049763,,
CL002,MOR01,100120552,,
CL002,MOR01,111618444,,
CL002,MOR01,110762971,,
CL002,MOR01,111905195,,
CL002,MOR01,102511266,,
CL002,MOR01,111905304,,
CL002,MOR01,110686541,,
CL002,MOR01,106672446,,
CL002,MOR01,109255365,,
CL002,MOR01,111001866,,
CL002,MOR01,100120501,,
CL002,MOR01,108027150,,
CL002,MOR01,108542549,,
CL002,MOR01,111817363,,
CL002,MOR01,109854835,,
CL002,MOR01,100181048,,
CL002,MOR01,112183091,,
CL002,MOR01,106072580,,
CL002,MOR01,110767499,,
CL002,MOR01,105405127,,
CL002,MOR01,104204913,,
CL002,MOR01,106282659,,
CL002,MOR01,107604082,,
CL002,MOR01,110416541,,
CL002,MOR01,111422513,,
CL002,MOR01,111809822,,
CL002,MOR01,100120641,,
CL002,MOR01,100120616,,
CL002,MOR01,100106064,,
CL002,MOR01,111486200,,
CL002,MOR01,111159751,,
CL002,MOR01,111578235,,
CL002,MOR01,109485195,,
CL002,MOR01,100126655,,
CL002,MOR01,107285798,,
CL002,MOR01,110416808,,
CL002,MOR01,108745901,,
CL002,MOR01,102376527,,
CL002,MOR01,106072467,,
CL002,MOR01,100120376,,
CL002,MOR01,110960467,,
CL002,MOR01,107149981,,
CL002,MOR01,107161568,,
CL002,MOR01,109415226,,
CL002,MOR01,106072774,,
CL002,MOR01,112234151,,
CL002,MOR01,111324930,,
CL002,MOR01,109858334,,
CL002,MOR01,112529101,,
CL002,MOR01,111811092,,
CL002,MOR01,110489599,,
CL002,MOR01,108268674,,
CL002,MOR01,112165045,,
CL002,MOR01,111115556,,
CL002,MOR01,104545064,,
CL002,MOR01,108832141,,
CL002,MOR01,100117871,,
CL002,MOR01,112506559,,
CL002,MOR01,106530510,,
CL002,MOR01,107136303,,
CL002,MOR01,107285501,,
CL002,MOR01,110549459,,
CL002,MOR01,108950665,,
CL002,MOR01,106694400,,
CL002,MOR01,101787914,,
CL002,MOR01,106207940,,
CL002,MOR01,104744119,,
CL002,MOR01,109933437,,
CL002,MOR01,110960627,,
CL002,MOR01,104927935,,
CL002,MOR01,105768147,,
CL002,MOR01,110443689,,
CL002,MOR01,111817275,,
CL002,MOR01,106073030,,
CL002,MOR01,102376332,,
CL002,MOR01,107923518,,
CL002,MOR01,110960715,,
CL002,MOR01,108950497,,
CL002,MOR01,112438592,,
CL002,MOR01,108566655,,
CL002,MOR01,110412647,,
CL002,MOR01,111580132,,
CL002,MOR01,106073671,,
CL002,MOR01,100120413,,
CL002,MOR01,110236612,,
CL002,MOR01,102520189,,
CL002,MOR01,111609206,,
CL002,MOR01,107961661,,
CL002,MOR01,108878309,,
CL002,MOR01,111084921,,
CL002,MOR01,109702022,,
CL002,MOR01,112165037,,
CL002,MOR01,100117661,,
CL002,MOR01,106331502,,
CL002,MOR01,112165176,,
CL002,MOR01,100112931,,
CL002,MOR01,110204080,,
CL002,MOR01,104811035,,
CL002,MOR01,106331166,,
CL002,MOR01,106571637,,
CL002,MOR01,100120464,,
CL002,MOR01,111809970,,
CL002,MOR01,107680122,,
CL002,MOR01,100112755,,
CL002,MOR01,100111568,,
CL002,MOR01,110960580,,
CL002,MOR01,100874135,,
CL002,MOR01,110767211,,
CL002,MOR01,110648414,,
CL002,MOR01,111580360,,
CL002,MOR01,107285253,,
CL002,MOR01,106331537,,
CL002,MOR01,103994811,,
CL002,MOR01,108027037,,
CL002,MOR01,110007908,,
CL002,MOR01,110011464,,
CL002,MOR01,100112907,,
CL002,MOR01,108542581,,
CL002,MOR01,102374775,,
CL002,MOR01,108950690,,
CL002,MOR01,110416630,,
CL002,MOR01,110427531,,
CL002,MOR01,109255251,,
CL002,MOR01,106206200,,
CL002,MOR01,100126891,,
CL002,MOR01,102376501,,
CL002,MOR01,105023541,,
CL002,MOR01,109854801,,
CL002,MOR01,100180635,,
CL002,MOR01,100120632,,
CL002,MOR01,100113678,,
CL002,MOR01,100120472,,
CL002,MOR01,108801483,,
CL002,MOR01,111776661,,
CL002,MOR01,106282448,,
CL002,MOR01,100126153,,
CL002,MOR01,112369304,,
CL002,MOR01,100120448,,
CL002,MOR01,102374783,,
CL002,MOR01,108171426,,
CL002,MOR01,100120270,,
CL002,MOR01,107273851,,
CL002,MOR01,111616123,,
CL002,MOR01,112595475,,
CL002,MOR01,105691531,,
CL002,MOR01,106073646,,
CL002,MOR01,100113758,,
CL002,MOR01,107136274,,
CL002,MOR01,104928022,,
CL002,MOR01,106072491,,
CL002,MOR01,108068550,,
CL002,MOR01,110471874,,
CL002,MOR01,111572298,,
CL002,MOR01,111434961,,
CL002,MOR01,110855190,,
CL002,MOR01,110427460,,
CL002,MOR01,100116975,,
CL002,MOR01,100126145,,
CL002,MOR01,110824772,,
CL002,MOR01,112369777,,
CL002,MOR01,110783165,,
CL002,MOR01,107273826,,
CL002,MOR01,112153968,,
CL002,MOR01,105031129,,
CL002,MOR01,100120296,,
CL002,MOR01,107535144,,
CL002,MOR01,111810911,,
CL002,MOR01,111905312,,
CL002,MOR01,107629378,,
CL002,MOR01,111904002,,
CL002,MOR01,111905208,,
CL002,MOR01,110427494,,
CL002,MOR01,111810145,,
CL002,MOR01,107137980,,
CL002,MOR01,110416672,,
CL002,MOR01,102882817,,
CL002,MOR01,111422652,,
CL002,MOR01,104878758,,
CL002,MOR01,111809988,,
CL002,MOR01,109933349,,
CL002,MOR01,100112860,,
CL002,MOR01,110767528,,
CL002,MOR01,107146481,,
CL002,MOR01,107629319,,
CL002,MOR01,110235960,,
CL002,MOR01,106282798,,
CL002,MOR01,110010656,,
CL002,MOR01,104811060,,
CL002,MOR01,109275690,,
CL002,MOR01,112367085,,
CL002,MOR01,104928057,,
CL002,MOR01,112650622,,
CL002,MOR01,110549424,,
CL002,MOR01,108268615,,
CL002,MOR01,112240623,,
CL002,MOR01,110824238,,
CL002,MOR01,110940757,,
CL002,MOR01,109933293,,
CL002,MOR01,109255314,,
CL002,MOR01,112367149,,
CL002,MOR01,102474135,,
CL002,MOR01,109854771,,
CL002,MOR01,100112991,,
CL002,MOR01,112595601,,
CL002,MOR01,111389750,,
CL002,MOR01,111459033,,
CL002,MOR01,101795738,,
CL002,MOR01,107535064,,
CL002,MOR01,108322626,,
CL002,MOR01,109265740,,
CL002,MOR01,109702081,,
CL002,MOR01,100177591,,
CL002,MOR01,108991301,,
CL002,MOR01,111776776,,
CL002,MOR01,100120561,,
CL002,MOR01,108616536,,
CL002,MOR01,111776611,,
CL002,MOR01,100126698,,
CL002,MOR01,111454224,,
CL002,MOR01,111776830,,
CL002,MOR01,109415251,,
CL002,MOR01,106072651,,
CL002,MOR01,104711958,,
CL002,MOR01,109415162,,
CL002,MOR01,106093305,,
CL002,MOR01,100119914,,
CL002,MOR01,112367000,,
CL002,MOR01,107162675,,
CL002,MOR01,100126971,,
CL002,MOR01,100112173,,
CL002,MOR01,110236647,,
CL002,MOR01,104536740,,
CL002,MOR01,100120405,,
CL002,MOR01,104409767,,
CL002,MOR01,111817152,,
CL002,MOR01,100177807,,
CL002,MOR01,105405098,,
CL002,MOR01,108832116,,
CL002,MOR01,100177639,,
CL002,MOR01,102880344,,
CL002,MOR01,100126962,,
CL002,MOR01,105853616,,
CL002,MOR01,100120392,,
CL002,MOR01,100112966,,
CL002,MOR01,106282595,,
CL002,MOR01,110606628,,
CL002,MOR01,110791077,,
CL002,MOR01,112195236,,
CL002,MOR01,111776725,,
CL002,MOR01,100126196,,
CL002,MOR01,100119906,,
CL002,MOR01,100126882,,
CL002,MOR01,100126161,,
CL002,MOR01,103994044,,
CL002,MOR01,109933672,,
CL002,MOR01,101787869,,
CL002,MOR01,110767317,,
CL002,MOR01,100272450,,
CL002,MOR01,104538809,,
CL002,MOR01,111422767,,
CL002,MOR01,107146616,,
CL002,MOR01,100125581,,
CL002,MOR01,111578147,,
CL002,MOR01,100112886,,
CL002,MOR01,111468095,,
CL002,MOR01,110412671,,
CL002,MOR01,110489071,,
CL002,MOR01,100125599,,
CL002,MOR01,106282755,,
CL002,MOR01,100126671,,
CL002,MOR01,107629255,,
CL002,MOR01,105859436,,
CL002,MOR01,106282712,,
CL002,MOR01,110427435,,
CL002,MOR01,108991361,,
CL002,MOR01,100125601,,
CL002,MOR01,104538921,,
CL002,MOR01,106571688,,
CL002,MOR01,100126989,,
CL002,MOR01,111810153,,
CL002,MOR01,111739502,,
CL002,MOR01,100180441,,
CL002,MOR01,110010681,,
CL002,MOR01,109854747,,
CL002,MOR01,100272484,,
CL002,MOR01,110922591,,
CL002,MOR01,111572247,,
CL002,MOR01,100116916,,
CL002,MOR01,107011797,,
CL002,MOR01,111620421,,
CL002,MOR01,110022833,,
CL002,MOR01,110010621,,
CL002,MOR01,111076315,,
CL002,MOR01,111580458,,
CL002,MOR01,104208092,,
CL002,MOR01,100117863,,
CL003,MOR01,110406503,,
CL003,MOR01,111322441,,
CL003,MOR01,109427155,,
CL003,MOR01,106072141,,
CL003,MOR01,112668283,,
CL003,MOR01,109307145,,
CL003,MOR01,112367552,,
CL003,MOR01,111853911,,
CL003,MOR01,109151081,,
CL003,MOR01,106073582,,
CL003,MOR01,108637100,,
CL003,MOR01,106372558,,
CL003,MOR01,108457740,,
CL003,MOR01,104583301,,
CL003,MOR01,105040084,,
CL003,MOR01,109431824,,
CL003,MOR01,100885993,,
CL003,MOR01,100106232,,
CL003,MOR01,112671933,,
CL003,MOR01,109479035,,
CL003,MOR01,108359373,,
CL003,MOR01,100121176,,
CL003,MOR01,109833524,,
CL003,MOR01,100916833,,
CL003,MOR01,104208893,,
CL003,MOR01,106418245,,
CL003,MOR01,100106419,,
CL003,MOR01,105020585,,
CL003,MOR01,111117893,,
CL003,MOR01,104402469,,
CL003,MOR01,109409854,,
CL003,MOR01,111117990,,
CL003,MOR01,111572351,,
CL003,MOR01,112035793,,
CL003,MOR01,112371287,,
CL003,MOR01,110406677,,
CL003,MOR01,105745691,,
CL003,MOR01,106087642,,
CL003,MOR01,109921188,,
CL003,MOR01,111347605,,
CL003,MOR01,110427371,,
CL003,MOR01,109431613,,
CL003,MOR01,100116713,,
CL003,MOR01,107149251,,
CL003,MOR01,105020438,,
CL003,MOR01,108053041,,
CL003,MOR01,108457811,,
CL003,MOR01,105038523,,
CL003,MOR01,111854084,,
CL003,MOR01,106072002,,
CL003,MOR01,102861442,,
CL003,MOR01,105987500,,
CL003,MOR01,108313009,,
CL003,MOR01,104744485,,
CL003,MOR01,111252163,,
CL003,MOR01,106991471,,
CL003,MOR01,107146691,,
CL003,MOR01,111563797,,
CL003,MOR01,102876695,,
CL003,MOR01,104209132,,
CL003,MOR01,106566707,,
CL003,MOR01,100106291,,
CL003,MOR01,112035945,,
CL003,MOR01,111252366,,
CL003,MOR01,107147272,,
CL003,MOR01,106073558,,
CL003,MOR01,104583255,,
CL003,MOR01,109328827,,
CL003,MOR01,106418421,,
CL003,MOR01,102878922,,
CL003,MOR01,107145795,,
CL003,MOR01,100116730,,
CL003,MOR01,106072361,,
CL003,MOR01,111176990,,
CL003,MOR01,107978130,,
CL003,MOR01,106073611,,
CL003,MOR01,100116553,,
CL003,MOR01,109156746,,
CL003,MOR01,108569021,,
CL003,MOR01,106072264,,
CL003,MOR01,106072045,,
CL003,MOR01,104402400,,
CL003,MOR01,112031178,,
CL003,MOR01,109702057,,
CL003,MOR01,109432122,,
CL003,MOR01,111342599,,
CL003,MOR01,110183805,,
CL003,MOR01,108052961,,
CL003,MOR01,107145883,,
CL003,MOR01,105036659,,
CL003,MOR01,100121635,,
CL003,MOR01,100126647,,
CL003,MOR01,112666683,,
CL003,MOR01,100126399,,
CL003,MOR01,112362250,,
CL003,MOR01,112177302,,
CL003,MOR01,112050150,,
CL003,MOR01,112362170,,
CL003,MOR01,105768171,,
CL003,MOR01,112371199,,
CL003,MOR01,111117738,,
CL003,MOR01,107136186,,
CL003,MOR01,104209087,,
CL003,MOR01,104206062,,
CL003,MOR01,111853701,,
CL003,MOR01,100111648,,
CL003,MOR01,111563826,,
CL003,MOR01,108270601,,
CL003,MOR01,100126591,,
CL003,MOR01,112672784,,
CL003,MOR01,110600023,,
CL003,MOR01,109703931,,
CL003,MOR01,108449643,,
CL003,MOR01,100126479,,
CL003,MOR01,104208383,,
CL003,MOR01,100116676,,
CL003,MOR01,107939755,,
CL003,MOR01,111221990,,
CL003,MOR01,108567682,,
CL003,MOR01,109432093,,
CL003,MOR01,106072205,,
CL003,MOR01,109836987,,
CL003,MOR01,108371129,,
CL003,MOR01,111265909,,
CL003,MOR01,100126401,,
CL003,MOR01,105401695,,
CL003,MOR01,106566660,,
CL003,MOR01,100125249,,
CL003,MOR01,100121150,,
CL003,MOR01,100116684,,
CL003,MOR01,109437054,,
CL003,MOR01,108312903,,
CL003,MOR01,110214801,,
CL003,MOR01,110773127,,
CL003,MOR01,112041683,,
CL003,MOR01,107932588,,
CL003,MOR01,105066348,,
CL003,MOR01,108529299,,
CL003,MOR01,106373585,,
CL003,MOR01,112035873,,
CL003,MOR01,100126911,,
CL003,MOR01,110596458,,
CL003,MOR01,107058886,,
CL003,MOR01,108313050,,
CL003,MOR01,107136119,,
CL003,MOR01,109921241,,
CL003,MOR01,100125214,,
CL003,MOR01,100106611,,
CL003,MOR01,107146819,,
CL003,MOR01,100111656,,
CL003,MOR01,107149331,,
CL003,MOR01,108499122,,
CL003,MOR01,100125151,,
CL003,MOR01,105740937,,
CL003,MOR01,105415958,,
CL003,MOR01,112359288,,
CL003,MOR01,106072310,,
CL003,MOR01,100116502,,
CL003,MOR01,112670236,,
CL003,MOR01,108364691,,
CL003,MOR01,105038769,,
CL003,MOR01,112359106,,
CL003,MOR01,110031991,,
CL003,MOR01,102878957,,
CL003,MOR01,100119076,,
CL003,MOR01,105929588,,
CL003,MOR01,110056857,,
CL003,MOR01,106468015,,
CL003,MOR01,110772968,,
CL003,MOR01,105691864,,
CL003,MOR01,111252729,,
CL003,MOR01,100126436,,
CL003,MOR01,104402434,,
CL003,MOR01,108312971,,
CL003,MOR01,102878316,,
CL003,MOR01,106566627,,
CL003,MOR01,105038283,,
CL003,MOR01,110869866,,
CL003,MOR01,109367800,,
CL003,MOR01,111584299,,
CL003,MOR01,111054802,,
CL003,MOR01,108637151,,
CL003,MOR01,105053395,,
CL003,MOR01,102861830,,
CL003,MOR01,106131640,,
CL003,MOR01,111265984,,
CL003,MOR01,111342716,,
CL003,MOR01,100126356,,
CL003,MOR01,108313308,,
CL003,MOR01,108313341,,
CL003,MOR01,112670201,,
CL003,MOR01,100126364,,
CL003,MOR01,105020497,,
CL003,MOR01,105415982,,
CL003,MOR01,111159188,,
CL003,MOR01,111838092,,
CL003,MOR01,102878551,,
CL003,MOR01,106073478,,
CL003,MOR01,100126461,,
CL003,MOR01,110134211,,
CL003,MOR01,106413591,,
CL003,MOR01,110869807,,
CL003,MOR01,110763181,,
CL003,MOR01,106372881,,
CL003,MOR01,110773240,,
CL003,MOR01,110766509,,
CL003,MOR01,111252577,,
CL003,MOR01,102878615,,
CL003,MOR01,105015778,,
CL003,MOR01,104926756,,
CL003,MOR01,105284644,,
CL003,MOR01,111865162,,
CL003,MOR01,105041327,,
CL003,MOR01,110763121,,
CL004,MOR01,112597294,,
CL004,MOR01,110918517,,
CL004,MOR01,109257416,,
CL004,MOR01,110794702,,
CL004,MOR01,104081693,,
CL004,MOR01,110403214,,
CL004,MOR01,109826383,,
